trial,planning_success,planning_time_s,num_waypoints
1,Yes,1.31,310
2,No,0.00,0
3,Yes,0.37,173
4,No,0.00,0
5,Yes,6.05,173
6,No,0.00,0
7,No,0.00,0
8,No,0.39,201
9,No,0.00,0
10,No,0.00,0
11,No,0.00,0
12,No,0.00,0
13,No,0.00,0
14,Yes,1.10,300
15,No,0.00,0
16,No,0.00,0
17,No,0.08,39
18,No,0.08,52
19,No,5.02,88
20,No,0.00,0
21,No,0.02,52
22,No,0.00,0
23,No,0.08,82
24,No,0.00,0
25,No,5.01,47
26,No,0.04,85
27,No,0.00,0
28,No,0.05,87
29,No,0.00,0
30,No,0.00,0
31,No,0.00,0
32,No,0.00,0
33,No,0.06,46
34,No,0.00,0
35,No,0.00,0
36,No,0.00,0
37,No,0.00,0
38,No,0.00,0
39,No,0.00,0
40,No,0.00,0
41,No,0.00,0
42,No,0.00,0
43,No,0.00,0
44,No,0.04,36
45,No,0.13,86
46,No,0.05,52
47,No,0.00,0
48,No,0.00,0
49,No,0.00,0
50,No,0.00,0
51,No,0.00,0
52,No,5.01,85
53,No,0.00,0
54,No,0.00,0
55,No,0.00,0
56,No,0.00,0
57,No,0.06,85
58,No,0.00,0
59,No,0.00,0
60,No,0.05,52
61,No,0.00,0
62,No,0.00,0
63,No,0.00,0
64,No,0.05,52
65,No,0.05,88
66,No,0.00,0
67,No,0.00,0
68,No,0.00,0
69,No,0.00,0
70,No,0.04,52
71,No,5.02,79
72,No,0.00,0
73,No,0.00,0
74,No,0.00,0
75,No,0.06,38
